model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,161.76,247.21,0.0,100.0,100.0,0.3868,0.48,0.2799,0.3102,0.2445,0.2571,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",success,,417.17,"{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.23,262.37,0.0,,,0.406,0.503,0.2926,0.324,0.255,0.268,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,442.7,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100.0,100.0,0.1,True,,,,,,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,12.24,0.32,0.0,,,0.222,0.3101,0.1497,0.1781,0.126,0.1377,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,18.54,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,12.03,0.31,0.0,,,0.0557,0.0899,0.0374,0.0484,0.0315,0.0359,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,18.25,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.0005,0.2,1.0,CE,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,14.02,0.35,0.0,,,0.2402,0.333,0.1615,0.1915,0.1356,0.1481,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,20.36,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,13.7,0.35,0.0,,,0.0431,0.0696,0.0289,0.0374,0.0243,0.0277,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,19.91,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0005,0.2,1.0,CE,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,61.5,129.74,0.0,100.0,100.0,0.1861,0.3406,0.0866,0.1366,0.0546,0.0752,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",success,,198.75,"{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,65.51,138.19,0.0,,,0.1836,0.3425,0.0837,0.1351,0.0517,0.0729,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,211.04,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100.0,100.0,0.1,True,,,,,,,,,,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,10.0,0.33,0.0,,,0.2042,0.3127,0.13,0.1649,0.1058,0.1201,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,16.01,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,9.99,0.32,0.0,,,0.0338,0.065,0.0224,0.0324,0.0187,0.0227,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,16.05,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.0005,0.2,1.0,CE,,,,,
